"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Velocity: Magnitude (m/s)"
0.0,38.95268631763853
0.0,38.93748474632747
0.0,38.927223440766504
0.0,38.92515576320754
0.0,38.943298359617934
0.0,38.946335146589426
0.0,38.92168045193467
0.0,38.939010683265025
0.0,38.94113554491357
0.0,38.94099428590818
0.0,38.96629335353981
0.0,38.96959304819677
0.0,38.96598061812757
0.0,38.9676972993193
0.0,38.957679827930605
0.0,38.95618530007541
0.0,38.947426595604746
0.0,38.95343832080955
0.0,38.935283671085465
0.0,38.945186619770375
0.0,38.93330845042222
0.0,38.948029097058274
0.0,38.93903352921909
0.0,38.96572143135603
0.0,38.96707541081012
0.0,38.97224427752763
0.0,38.981174751603696
0.0,38.97368641991494
0.0,38.968513744579695
0.0,38.95834431618346
0.0,38.93513541432044
0.0,38.930271612166685
0.0,38.92684673957703
0.0,38.93494894408491
0.0,38.93132453529314
0.0,38.93295360059557
0.0,38.93119168487998
0.0,38.92122342292914
0.0,38.91656184965543
0.0,38.9074786455541
0.0,38.91375354853234
0.0,38.92117707022635
0.0,38.92351942386416
0.0,38.92121506063632
0.0,38.92919561420215
0.0,38.92745208831684
0.0,38.914630932655456
0.0,38.923477176199505
0.0,38.941986121723794
0.0,38.94411471740002
0.0,38.92235569895738
0.0,38.936893604011374
0.0,38.936973955523946
0.0,38.92867691613127
0.0,38.93771452050556
0.0,38.94799449412559
0.0,38.96256655894174
0.0,38.96119384148484
0.0,38.9452553754272
0.0,38.941463570614914
0.0,38.94453432502652
0.0,38.95090103189834
0.0,38.95669954292072
0.0,38.947963770169956
0.0,38.97685656418249
0.0,38.960037324823524
0.0,38.96371492474472
0.0,38.994549291575446
0.0,39.010083779936
0.0,39.000000776852005
0.0,38.99403827072454
0.0,38.98953279998328
0.0,39.00494793150044
0.0,38.987678549306814
0.0,38.99032975171862
0.0,38.982303639929704
0.0,38.991554584390144
0.0,38.96455026403013
0.0,38.992230534734865
0.0,38.978794418564036
0.0,38.97178268528318
0.0,38.963523923628514
0.0,38.97079859066922
0.0,38.94574738180168
0.0,38.93301019013337
0.0,38.91965487334016
0.0,38.91748050278076
0.0,38.915649425466334
0.0,38.902282758012916
0.0,38.921199952189646
0.0,38.93275076318974
0.0,38.92936333259876
0.0,38.93001573298171
0.0,38.94245166084206
0.0,38.95878225771285
0.0,38.95474258030368
0.0,38.950481551675054
0.0,38.950660733074564
0.0,38.97319412235793
0.0,38.97166069405106
0.0,38.95635623369859
0.0,38.95206478131006
0.0,38.945045799212394
0.0,38.94509508311401
0.0,38.946865626738635
0.0,38.94626246829216
0.0,38.95415881853913
0.0,38.95846591179822
0.0,38.966366357772564
0.0,38.98280351268279
0.0,38.97811508187986
0.0,38.967666770974255
0.0,38.95738226704233
0.0,38.96191027895717
0.0,38.95827875541786
0.0,38.97056218993798
0.0,38.97694413146801
0.0,38.952171509389395
0.0,38.953851200489275
0.0,38.97217667413023
0.0,38.97728022299544
0.0,38.976665965763395
0.0,38.98954407451167
0.0,38.99168071886259
0.0,38.99844396081971
0.0,38.984752781931384
0.0,38.980850694808225
0.0,38.98424180145237
0.0,38.998615528122976
0.0,38.989025283048534
2.0E-5,38.95268631763853
2.0E-5,38.93748474632747
2.0E-5,38.927223440766504
2.0E-5,38.92515576320754
2.0E-5,38.943298359617934
2.0E-5,38.946335146589426
2.0E-5,38.92168045193467
2.0E-5,38.939010683265025
2.0E-5,38.94113554491357
2.0E-5,38.94099428590818
2.0E-5,38.96629335353981
2.0E-5,38.96959304819677
2.0E-5,38.96598061812757
2.0E-5,38.9676972993193
2.0E-5,38.957679827930605
2.0E-5,38.95618530007541
2.0E-5,38.947426595604746
2.0E-5,38.95343832080955
2.0E-5,38.935283671085465
2.0E-5,38.945186619770375
2.0E-5,38.93330845042222
2.0E-5,38.948029097058274
2.0E-5,38.93903352921909
2.0E-5,38.96572143135603
2.0E-5,38.96707541081012
2.0E-5,38.97224427752763
2.0E-5,38.981174751603696
2.0E-5,38.97368641991494
2.0E-5,38.968513744579695
2.0E-5,38.95834431618346
2.0E-5,38.93513541432044
2.0E-5,38.930271612166685
2.0E-5,38.92684673957703
2.0E-5,38.93494894408491
2.0E-5,38.93132453529314
2.0E-5,38.93295360059557
2.0E-5,38.93119168487998
2.0E-5,38.92122342292914
2.0E-5,38.91656184965543
2.0E-5,38.9074786455541
2.0E-5,38.91375354853234
2.0E-5,38.92117707022635
2.0E-5,38.92351942386416
2.0E-5,38.92121506063632
2.0E-5,38.92919561420215
2.0E-5,38.92745208831684
2.0E-5,38.914630932655456
2.0E-5,38.923477176199505
2.0E-5,38.941986121723794
2.0E-5,38.94411471740002
2.0E-5,38.92235569895738
2.0E-5,38.936893604011374
2.0E-5,38.936973955523946
2.0E-5,38.92867691613127
2.0E-5,38.93771452050556
2.0E-5,38.94799449412559
2.0E-5,38.96256655894174
2.0E-5,38.96119384148484
2.0E-5,38.9452553754272
2.0E-5,38.941463570614914
2.0E-5,38.94453432502652
2.0E-5,38.95090103189834
2.0E-5,38.95669954292072
2.0E-5,38.947963770169956
2.0E-5,38.97685656418249
2.0E-5,38.960037324823524
2.0E-5,38.96371492474472
2.0E-5,38.994549291575446
2.0E-5,39.010083779936
2.0E-5,39.000000776852005
2.0E-5,38.99403827072454
2.0E-5,38.98953279998328
2.0E-5,39.00494793150044
2.0E-5,38.987678549306814
2.0E-5,38.99032975171862
2.0E-5,38.982303639929704
2.0E-5,38.991554584390144
2.0E-5,38.96455026403013
2.0E-5,38.992230534734865
2.0E-5,38.978794418564036
2.0E-5,38.97178268528318
2.0E-5,38.963523923628514
2.0E-5,38.97079859066922
2.0E-5,38.94574738180168
2.0E-5,38.93301019013337
2.0E-5,38.91965487334016
2.0E-5,38.91748050278076
2.0E-5,38.915649425466334
2.0E-5,38.902282758012916
2.0E-5,38.921199952189646
2.0E-5,38.93275076318974
2.0E-5,38.92936333259876
2.0E-5,38.93001573298171
2.0E-5,38.94245166084206
2.0E-5,38.95878225771285
2.0E-5,38.95474258030368
2.0E-5,38.950481551675054
2.0E-5,38.950660733074564
2.0E-5,38.97319412235793
2.0E-5,38.97166069405106
2.0E-5,38.95635623369859
2.0E-5,38.95206478131006
2.0E-5,38.945045799212394
2.0E-5,38.94509508311401
2.0E-5,38.946865626738635
2.0E-5,38.94626246829216
2.0E-5,38.95415881853913
2.0E-5,38.95846591179822
2.0E-5,38.966366357772564
2.0E-5,38.98280351268279
2.0E-5,38.97811508187986
2.0E-5,38.967666770974255
2.0E-5,38.95738226704233
2.0E-5,38.96191027895717
2.0E-5,38.95827875541786
2.0E-5,38.97056218993798
2.0E-5,38.97694413146801
2.0E-5,38.952171509389395
2.0E-5,38.953851200489275
2.0E-5,38.97217667413023
2.0E-5,38.97728022299544
2.0E-5,38.976665965763395
2.0E-5,38.98954407451167
2.0E-5,38.99168071886259
2.0E-5,38.99844396081971
2.0E-5,38.984752781931384
2.0E-5,38.980850694808225
2.0E-5,38.98424180145237
2.0E-5,38.998615528122976
2.0E-5,38.989025283048534
4.0E-5,38.95268631763853
4.0E-5,38.93748474632747
4.0E-5,38.927223440766504
4.0E-5,38.92515576320754
4.0E-5,38.88199616110256
4.0E-5,38.946335146589426
4.0E-5,38.92168045193467
4.0E-5,38.939010683265025
4.0E-5,38.94113554491357
4.0E-5,38.94099428590818
4.0E-5,38.842552237141625
4.0E-5,38.96959304819677
4.0E-5,38.96598061812757
4.0E-5,38.86092383243377
4.0E-5,38.957679827930605
4.0E-5,38.815918027164
4.0E-5,38.809917573777874
4.0E-5,38.80876545422966
4.0E-5,38.935283671085465
4.0E-5,38.945186619770375
4.0E-5,38.93330845042222
4.0E-5,38.80965434348844
4.0E-5,38.93903352921909
4.0E-5,38.96572143135603
4.0E-5,38.96707541081012
4.0E-5,38.97224427752763
4.0E-5,38.981174751603696
4.0E-5,38.97368641991494
4.0E-5,38.968513744579695
4.0E-5,38.95834431618346
4.0E-5,38.93513541432044
4.0E-5,38.930271612166685
4.0E-5,38.92684673957703
4.0E-5,38.93494894408491
4.0E-5,38.93132453529314
4.0E-5,38.93295360059557
4.0E-5,38.93119168487998
4.0E-5,38.92122342292914
4.0E-5,38.91656184965543
4.0E-5,38.9074786455541
4.0E-5,38.91375354853234
4.0E-5,38.84473037895806
4.0E-5,38.92351942386416
4.0E-5,38.92121506063632
4.0E-5,38.92919561420215
4.0E-5,38.92745208831684
4.0E-5,38.914630932655456
4.0E-5,38.923477176199505
4.0E-5,38.941986121723794
4.0E-5,38.94411471740002
4.0E-5,38.92235569895738
4.0E-5,38.936893604011374
4.0E-5,38.86660003978968
4.0E-5,38.92867691613127
4.0E-5,38.93771452050556
4.0E-5,38.94799449412559
4.0E-5,38.86242685949541
4.0E-5,38.96119384148484
4.0E-5,38.9452553754272
4.0E-5,38.941463570614914
4.0E-5,38.94453432502652
4.0E-5,38.95090103189834
4.0E-5,38.95669954292072
4.0E-5,38.947963770169956
4.0E-5,38.81956485041023
4.0E-5,38.960037324823524
4.0E-5,38.96371492474472
4.0E-5,38.994549291575446
4.0E-5,39.010083779936
4.0E-5,39.000000776852005
4.0E-5,38.99403827072454
4.0E-5,38.98953279998328
4.0E-5,38.86800386390283
4.0E-5,38.987678549306814
4.0E-5,38.99032975171862
4.0E-5,38.982303639929704
4.0E-5,38.875644715477534
4.0E-5,38.96455026403013
4.0E-5,38.992230534734865
4.0E-5,38.978794418564036
4.0E-5,38.97178268528318
4.0E-5,38.963523923628514
4.0E-5,38.86798860336054
4.0E-5,38.94574738180168
4.0E-5,38.93301019013337
4.0E-5,38.91965487334016
4.0E-5,38.91748050278076
4.0E-5,38.915649425466334
4.0E-5,38.902282758012916
4.0E-5,38.921199952189646
4.0E-5,38.93275076318974
4.0E-5,38.92936333259876
4.0E-5,38.93001573298171
4.0E-5,38.94245166084206
4.0E-5,38.81483078652928
4.0E-5,38.87522890851235
4.0E-5,38.950481551675054
4.0E-5,38.950660733074564
4.0E-5,38.97319412235793
4.0E-5,38.97166069405106
4.0E-5,38.95635623369859
4.0E-5,38.95206478131006
4.0E-5,38.945045799212394
4.0E-5,38.94509508311401
4.0E-5,38.946865626738635
4.0E-5,38.94626246829216
4.0E-5,38.95415881853913
4.0E-5,38.95846591179822
4.0E-5,38.966366357772564
4.0E-5,38.98280351268279
4.0E-5,38.83670450554366
4.0E-5,38.967666770974255
4.0E-5,38.95738226704233
4.0E-5,38.96191027895717
4.0E-5,38.95827875541786
4.0E-5,38.97056218993798
4.0E-5,38.97694413146801
4.0E-5,38.952171509389395
4.0E-5,38.82062164169292
4.0E-5,38.83798653962871
4.0E-5,38.97728022299544
4.0E-5,38.976665965763395
4.0E-5,38.98954407451167
4.0E-5,38.99168071886259
4.0E-5,38.88450622641925
4.0E-5,38.984752781931384
4.0E-5,38.980850694808225
4.0E-5,38.98424180145237
4.0E-5,38.93457034398121
4.0E-5,38.989025283048534
6.0E-5,38.73960507099604
6.0E-5,38.720531782758655
6.0E-5,38.93748474632747
6.0E-5,38.75059904584507
6.0E-5,38.68615004474829
6.0E-5,38.8142318827261
6.0E-5,38.7207375921384
6.0E-5,38.735660891396265
6.0E-5,38.83806993745534
6.0E-5,38.686733280562215
6.0E-5,38.852520177241864
6.0E-5,38.842552237141625
6.0E-5,38.73995987685101
6.0E-5,38.74905806938484
6.0E-5,38.86092383243377
6.0E-5,38.84111407716865
6.0E-5,38.815918027164
6.0E-5,38.809917573777874
6.0E-5,38.80876545422966
6.0E-5,38.76974113659738
6.0E-5,38.76152422265805
6.0E-5,38.93330845042222
6.0E-5,38.80965434348844
6.0E-5,38.8433345702327
6.0E-5,38.81757361867294
6.0E-5,38.84552773849687
6.0E-5,38.8694496173626
6.0E-5,38.8694496173626
6.0E-5,38.80048370363135
6.0E-5,38.968513744579695
6.0E-5,38.726136006235215
6.0E-5,38.69766283214518
6.0E-5,38.777420220875975
6.0E-5,38.70756149690144
6.0E-5,38.68901827036193
6.0E-5,38.76256943915941
6.0E-5,38.80542757120569
6.0E-5,38.72382354736509
6.0E-5,38.72106561250056
6.0E-5,38.71567536756162
6.0E-5,38.9074786455541
6.0E-5,38.721473738296595
6.0E-5,38.81534195661869
6.0E-5,38.68172462938749
6.0E-5,38.735961966089256
6.0E-5,38.807167059245884
6.0E-5,38.723541275898235
6.0E-5,38.74347699194654
6.0E-5,38.80377592133042
6.0E-5,38.84576416028236
6.0E-5,38.742752105078665
6.0E-5,38.92235569895738
6.0E-5,38.694187215674866
6.0E-5,38.78254330240549
6.0E-5,38.78254330240549
6.0E-5,38.814564022640134
6.0E-5,38.80649588019052
6.0E-5,38.86242685949541
6.0E-5,38.86576462146927
6.0E-5,38.68399436175963
6.0E-5,38.79777923378687
6.0E-5,38.82607282945173
6.0E-5,38.86938860186697
6.0E-5,38.766327009965835
6.0E-5,38.947963770169956
6.0E-5,38.81956485041023
6.0E-5,38.80724734790927
6.0E-5,38.96371492474472
6.0E-5,38.818199999639035
6.0E-5,38.87401201801837
6.0E-5,38.83554099793521
6.0E-5,38.79171769385697
6.0E-5,38.72348024477889
6.0E-5,38.86800386390283
6.0E-5,38.84549331696822
6.0E-5,38.81546419509745
6.0E-5,38.982303639929704
6.0E-5,38.875644715477534
6.0E-5,38.727497215548574
6.0E-5,38.86812216418489
6.0E-5,38.73692355911173
6.0E-5,38.830394772441025
6.0E-5,38.963523923628514
6.0E-5,38.86798860336054
6.0E-5,38.94574738180168
6.0E-5,38.93301019013337
6.0E-5,38.91965487334016
6.0E-5,38.781162320687514
6.0E-5,38.79379654448966
6.0E-5,38.902282758012916
6.0E-5,38.73992920415056
6.0E-5,38.78326468331061
6.0E-5,38.71617912857546
6.0E-5,38.93001573298171
6.0E-5,38.756103561526444
6.0E-5,38.81483078652928
6.0E-5,38.87522890851235
6.0E-5,38.80672474496655
6.0E-5,38.82762939746288
6.0E-5,38.76241687005491
6.0E-5,38.75166737549578
6.0E-5,38.80757914004643
6.0E-5,38.73455446273888
6.0E-5,38.70822937477414
6.0E-5,38.94509508311401
6.0E-5,38.717495124091265
6.0E-5,38.7912979132079
6.0E-5,38.8440705591293
6.0E-5,38.8440705591293
6.0E-5,38.846237439988194
6.0E-5,38.84044674926733
6.0E-5,38.83670450554366
6.0E-5,38.831951200993345
6.0E-5,38.95738226704233
6.0E-5,38.96191027895717
6.0E-5,38.78913880082851
6.0E-5,38.81639099866426
6.0E-5,38.80734286635098
6.0E-5,38.70702011345795
6.0E-5,38.82062164169292
6.0E-5,38.83798653962871
6.0E-5,38.82654195161702
6.0E-5,38.8352852345011
6.0E-5,38.84344482430972
6.0E-5,38.77620700379932
6.0E-5,38.88450622641925
6.0E-5,38.78202057183601
6.0E-5,38.805206324320075
6.0E-5,38.78836822621698
6.0E-5,38.93457034398121
6.0E-5,38.759693247160264
8.0E-5,38.73960507099604
8.0E-5,38.720531782758655
8.0E-5,38.67826462921589
8.0E-5,38.75059904584507
8.0E-5,38.68615004474829
8.0E-5,38.51021206934422
8.0E-5,38.7207375921384
8.0E-5,38.735660891396265
8.0E-5,38.83806993745534
8.0E-5,38.686733280562215
8.0E-5,38.852520177241864
8.0E-5,38.842552237141625
8.0E-5,38.73995987685101
8.0E-5,38.74905806938484
8.0E-5,38.86092383243377
8.0E-5,38.84111407716865
8.0E-5,38.815918027164
8.0E-5,38.809917573777874
8.0E-5,38.80876545422966
8.0E-5,38.76974113659738
8.0E-5,38.76152422265805
8.0E-5,38.76152422265805
8.0E-5,38.80965434348844
8.0E-5,38.8433345702327
8.0E-5,38.8433345702327
8.0E-5,38.84552773849687
8.0E-5,38.8694496173626
8.0E-5,38.854995990942605
8.0E-5,38.80048370363135
8.0E-5,38.697990420818556
8.0E-5,38.726136006235215
8.0E-5,38.69766283214518
8.0E-5,38.777420220875975
8.0E-5,38.70756149690144
8.0E-5,38.68901827036193
8.0E-5,38.76256943915941
8.0E-5,38.80542757120569
8.0E-5,38.72382354736509
8.0E-5,38.72106561250056
8.0E-5,38.71567536756162
8.0E-5,38.68781282591023
8.0E-5,38.721473738296595
8.0E-5,38.81534195661869
8.0E-5,38.68172462938749
8.0E-5,38.735961966089256
8.0E-5,38.807167059245884
8.0E-5,38.723541275898235
8.0E-5,38.74347699194654
8.0E-5,38.74347699194654
8.0E-5,38.84576416028236
8.0E-5,38.742752105078665
8.0E-5,38.66138076968568
8.0E-5,38.694187215674866
8.0E-5,38.78254330240549
8.0E-5,38.78254330240549
8.0E-5,38.814564022640134
8.0E-5,38.80649588019052
8.0E-5,38.86242685949541
8.0E-5,38.86576462146927
8.0E-5,38.68399436175963
8.0E-5,38.79777923378687
8.0E-5,38.82607282945173
8.0E-5,38.86938860186697
8.0E-5,38.766327009965835
8.0E-5,38.70053113944838
8.0E-5,38.81956485041023
8.0E-5,38.80724734790927
8.0E-5,38.818199999639035
8.0E-5,38.818199999639035
8.0E-5,38.87401201801837
8.0E-5,38.83554099793521
8.0E-5,38.79171769385697
8.0E-5,38.72348024477889
8.0E-5,38.86800386390283
8.0E-5,38.84549331696822
8.0E-5,38.81546419509745
8.0E-5,38.60172314868957
8.0E-5,38.875644715477534
8.0E-5,38.727497215548574
8.0E-5,38.86812216418489
8.0E-5,38.73692355911173
8.0E-5,38.73858364627975
8.0E-5,38.62279510675296
8.0E-5,38.86798860336054
8.0E-5,38.65317192696343
8.0E-5,38.707539230091456
8.0E-5,38.625339809274585
8.0E-5,38.707351706323976
8.0E-5,38.707351706323976
8.0E-5,38.62942505238479
8.0E-5,38.73992920415056
8.0E-5,38.78326468331061
8.0E-5,38.71617912857546
8.0E-5,38.71617912857546
8.0E-5,38.756103561526444
8.0E-5,38.81483078652928
8.0E-5,38.622543345880175
8.0E-5,38.80672474496655
8.0E-5,38.82762939746288
8.0E-5,38.76241687005491
8.0E-5,38.75166737549578
8.0E-5,38.80757914004643
8.0E-5,38.73455446273888
8.0E-5,38.70822937477414
8.0E-5,38.67164612967574
8.0E-5,38.717495124091265
8.0E-5,38.7912979132079
8.0E-5,38.8440705591293
8.0E-5,38.8440705591293
8.0E-5,38.846237439988194
8.0E-5,38.84044674926733
8.0E-5,38.83670450554366
8.0E-5,38.831951200993345
8.0E-5,38.56267935212984
8.0E-5,38.756923704311944
8.0E-5,38.78913880082851
8.0E-5,38.81639099866426
8.0E-5,38.80734286635098
8.0E-5,38.70702011345795
8.0E-5,38.82062164169292
8.0E-5,38.83798653962871
8.0E-5,38.82654195161702
8.0E-5,38.8352852345011
8.0E-5,38.84344482430972
8.0E-5,38.77620700379932
8.0E-5,38.88450622641925
8.0E-5,38.78202057183601
8.0E-5,38.805206324320075
8.0E-5,38.78836822621698
8.0E-5,38.67411427304109
8.0E-5,38.759693247160264
1.0E-4,38.73960507099604
1.0E-4,38.720531782758655
1.0E-4,38.67826462921589
1.0E-4,38.75059904584507
1.0E-4,38.68615004474829
1.0E-4,38.51021206934422
1.0E-4,38.7207375921384
1.0E-4,38.735660891396265
1.0E-4,38.735660891396265
1.0E-4,38.686733280562215
1.0E-4,38.852520177241864
1.0E-4,38.842552237141625
1.0E-4,38.73995987685101
1.0E-4,38.74905806938484
1.0E-4,38.86092383243377
1.0E-4,38.84111407716865
1.0E-4,38.815918027164
1.0E-4,38.809917573777874
1.0E-4,38.80876545422966
1.0E-4,38.76974113659738
1.0E-4,38.76974113659738
1.0E-4,38.76152422265805
1.0E-4,38.80965434348844
1.0E-4,38.494827275621866
1.0E-4,38.8433345702327
1.0E-4,38.84552773849687
1.0E-4,38.47034468096511
1.0E-4,38.425838519348666
1.0E-4,38.80048370363135
1.0E-4,38.697990420818556
1.0E-4,38.726136006235215
1.0E-4,38.69766283214518
1.0E-4,38.777420220875975
1.0E-4,38.70756149690144
1.0E-4,38.68901827036193
1.0E-4,38.76256943915941
1.0E-4,38.80542757120569
1.0E-4,38.72382354736509
1.0E-4,38.72106561250056
1.0E-4,38.71567536756162
1.0E-4,38.68781282591023
1.0E-4,38.721473738296595
1.0E-4,38.51246263274095
1.0E-4,38.68172462938749
1.0E-4,38.735961966089256
1.0E-4,38.807167059245884
1.0E-4,38.723541275898235
1.0E-4,38.74347699194654
1.0E-4,38.74347699194654
1.0E-4,38.80377592133042
1.0E-4,38.742752105078665
1.0E-4,38.66138076968568
1.0E-4,38.694187215674866
1.0E-4,38.539237986631825
1.0E-4,38.78254330240549
1.0E-4,38.814564022640134
1.0E-4,38.80649588019052
1.0E-4,38.53778839179654
1.0E-4,38.86576462146927
1.0E-4,38.68399436175963
1.0E-4,38.79777923378687
1.0E-4,38.82607282945173
1.0E-4,38.51796780461716
1.0E-4,38.766327009965835
1.0E-4,38.70053113944838
1.0E-4,38.81956485041023
1.0E-4,38.80724734790927
1.0E-4,38.818199999639035
1.0E-4,38.818199999639035
1.0E-4,38.87401201801837
1.0E-4,38.83554099793521
1.0E-4,38.79171769385697
1.0E-4,38.72348024477889
1.0E-4,38.86800386390283
1.0E-4,38.84549331696822
1.0E-4,38.81546419509745
1.0E-4,38.60172314868957
1.0E-4,38.875644715477534
1.0E-4,38.727497215548574
1.0E-4,38.86812216418489
1.0E-4,38.73692355911173
1.0E-4,38.73858364627975
1.0E-4,38.62279510675296
1.0E-4,38.86798860336054
1.0E-4,38.65317192696343
1.0E-4,38.707539230091456
1.0E-4,38.625339809274585
1.0E-4,38.707351706323976
1.0E-4,38.707351706323976
1.0E-4,38.62942505238479
1.0E-4,38.73992920415056
1.0E-4,38.78326468331061
1.0E-4,38.71617912857546
1.0E-4,38.71617912857546
1.0E-4,38.756103561526444
1.0E-4,38.443153392277175
1.0E-4,38.622543345880175
1.0E-4,38.80672474496655
1.0E-4,38.82762939746288
1.0E-4,38.76241687005491
1.0E-4,38.75166737549578
1.0E-4,38.80757914004643
1.0E-4,38.73455446273888
1.0E-4,38.70822937477414
1.0E-4,38.67164612967574
1.0E-4,38.717495124091265
1.0E-4,38.7912979132079
1.0E-4,38.411361771606785
1.0E-4,38.477776646568046
1.0E-4,38.846237439988194
1.0E-4,38.84044674926733
1.0E-4,38.83670450554366
1.0E-4,38.831951200993345
1.0E-4,38.56267935212984
1.0E-4,38.78913880082851
1.0E-4,38.78913880082851
1.0E-4,38.81639099866426
1.0E-4,38.80734286635098
1.0E-4,38.70702011345795
1.0E-4,38.82062164169292
1.0E-4,38.83798653962871
1.0E-4,38.82654195161702
1.0E-4,38.8352852345011
1.0E-4,38.84344482430972
1.0E-4,38.77620700379932
1.0E-4,38.88450622641925
1.0E-4,38.78202057183601
1.0E-4,38.805206324320075
1.0E-4,38.78836822621698
1.0E-4,38.67411427304109
1.0E-4,38.759693247160264
1.2E-4,38.73960507099604
1.2E-4,38.720531782758655
1.2E-4,38.67826462921589
1.2E-4,38.75059904584507
1.2E-4,38.68615004474829
1.2E-4,38.51021206934422
1.2E-4,38.7207375921384
1.2E-4,38.735660891396265
1.2E-4,38.38198855169431
1.2E-4,38.686733280562215
1.2E-4,38.43229684994837
1.2E-4,38.452072255702504
1.2E-4,38.73995987685101
1.2E-4,38.74905806938484
1.2E-4,38.49019259768127
1.2E-4,38.41150317255989
1.2E-4,38.22113054062042
1.2E-4,38.30718994155226
1.2E-4,38.80876545422966
1.2E-4,38.76974113659738
1.2E-4,38.333431654370266
1.2E-4,38.76152422265805
1.2E-4,38.80965434348844
1.2E-4,38.494827275621866
1.2E-4,38.213325506180986
1.2E-4,38.39118209457512
1.2E-4,38.47034468096511
1.2E-4,38.425838519348666
1.2E-4,38.80048370363135
1.2E-4,38.697990420818556
1.2E-4,38.726136006235215
1.2E-4,38.69766283214518
1.2E-4,38.777420220875975
1.2E-4,38.70756149690144
1.2E-4,38.68901827036193
1.2E-4,38.76256943915941
1.2E-4,38.38219468470483
1.2E-4,38.72382354736509
1.2E-4,38.72106561250056
1.2E-4,38.71567536756162
1.2E-4,38.68781282591023
1.2E-4,38.721473738296595
1.2E-4,38.51246263274095
1.2E-4,38.68172462938749
1.2E-4,38.735961966089256
1.2E-4,38.22887865165902
1.2E-4,38.723541275898235
1.2E-4,38.35137625540751
1.2E-4,38.39378357285438
1.2E-4,38.32890319882055
1.2E-4,38.742752105078665
1.2E-4,38.66138076968568
1.2E-4,38.694187215674866
1.2E-4,38.539237986631825
1.2E-4,38.46583589038885
1.2E-4,38.21070871053788
1.2E-4,38.43766412525929
1.2E-4,38.53778839179654
1.2E-4,38.283326389259706
1.2E-4,38.68399436175963
1.2E-4,38.36044323483229
1.2E-4,38.32837788863309
1.2E-4,38.51796780461716
1.2E-4,38.766327009965835
1.2E-4,38.70053113944838
1.2E-4,38.81956485041023
1.2E-4,38.80724734790927
1.2E-4,38.33736836696692
1.2E-4,38.818199999639035
1.2E-4,38.458858740189555
1.2E-4,38.83554099793521
1.2E-4,38.79171769385697
1.2E-4,38.72348024477889
1.2E-4,38.86800386390283
1.2E-4,38.84549331696822
1.2E-4,38.360660756238815
1.2E-4,38.60172314868957
1.2E-4,38.43817143867382
1.2E-4,38.727497215548574
1.2E-4,38.34612285977383
1.2E-4,38.73692355911173
1.2E-4,38.73858364627975
1.2E-4,38.62279510675296
1.2E-4,38.35909719301369
1.2E-4,38.65317192696343
1.2E-4,38.707539230091456
1.2E-4,38.625339809274585
1.2E-4,38.707351706323976
1.2E-4,38.33030701038454
1.2E-4,38.62942505238479
1.2E-4,38.48423068362493
1.2E-4,38.78326468331061
1.2E-4,38.71617912857546
1.2E-4,38.71617912857546
1.2E-4,38.756103561526444
1.2E-4,38.443153392277175
1.2E-4,38.622543345880175
1.2E-4,38.45777187627195
1.2E-4,38.36569258462489
1.2E-4,38.76241687005491
1.2E-4,38.75166737549578
1.2E-4,38.80757914004643
1.2E-4,38.73455446273888
1.2E-4,38.70822937477414
1.2E-4,38.67164612967574
1.2E-4,38.717495124091265
1.2E-4,38.7912979132079
1.2E-4,38.411361771606785
1.2E-4,38.477776646568046
1.2E-4,38.41537872489721
1.2E-4,38.18730174844336
1.2E-4,38.44490840497208
1.2E-4,38.37935639326005
1.2E-4,38.56267935212984
1.2E-4,38.308258338158794
1.2E-4,38.78913880082851
1.2E-4,38.330536068820535
1.2E-4,38.42422961120539
1.2E-4,38.70702011345795
1.2E-4,38.82062164169292
1.2E-4,38.83798653962871
1.2E-4,38.39006063209656
1.2E-4,38.26505332491417
1.2E-4,38.52221687480736
1.2E-4,38.77620700379932
1.2E-4,38.45268667344282
1.2E-4,38.78202057183601
