"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Static Pressure (Pa)"
0.0,241.18034080474172
0.0,240.57764846959617
0.0,239.9716295893304
0.0,239.47619693051092
0.0,238.8538656544988
0.0,238.22368275519693
0.0,237.75923217085074
0.0,237.19622451459873
0.0,236.59392137020768
0.0,236.09717897790688
0.0,235.4614820529041
0.0,234.8929900024741
0.0,234.1484667428158
0.0,233.52461023934302
0.0,233.0297299111262
0.0,232.408295630652
0.0,231.78251004379126
0.0,231.2884863144718
0.0,230.84822668420384
0.0,230.24060425942298
0.0,229.48884666571394
0.0,229.00228577724192
0.0,228.5581849933369
0.0,227.8983662665123
0.0,227.31668105651625
0.0,226.78059894469334
0.0,226.18825490784366
0.0,225.63301898608916
0.0,225.06323493769742
0.0,224.3187668574392
0.0,223.7639139854
0.0,223.3109445461887
0.0,222.7685213770019
0.0,222.12197340404964
0.0,221.55550411960576
0.0,221.0413968260691
0.0,220.42233421542915
0.0,219.84211270444212
0.0,219.30273220597883
0.0,218.6930148906249
0.0,218.19990960787982
0.0,217.71372660214547
0.0,217.20712928372086
0.0,216.59173024771735
0.0,215.96699115808588
0.0,215.3959143757238
0.0,214.89014970354037
0.0,214.33774760883534
0.0,213.75529876869405
0.0,213.2259043729864
0.0,212.66327809897484
0.0,212.0335148270824
0.0,211.49194078426808
0.0,210.9636437515146
0.0,210.4136461277376
0.0,209.88232812442584
0.0,209.33875485602766
0.0,208.73331451817648
0.0,208.19618988293223
0.0,207.62095789966406
0.0,207.0889604978729
0.0,206.5474425032735
0.0,206.01113076222828
0.0,205.44630353699904
0.0,204.8514108916861
0.0,204.36222126655048
0.0,203.870443654494
0.0,203.28695737448288
0.0,202.63244666327955
0.0,202.1376828776265
0.0,201.58330269830185
0.0,201.0058512946125
0.0,200.49101676073042
0.0,200.06321411365934
0.0,199.52969128959376
0.0,198.85738050717555
0.0,198.31077633950918
0.0,197.87726414650388
0.0,197.30977728746075
0.0,196.71909115463495
0.0,196.19066696224036
0.0,195.62501097950735
0.0,195.1665770696709
0.0,194.6749718617648
0.0,193.99350982537726
0.0,193.46139856812079
0.0,192.97489083500113
0.0,192.48205109499395
0.0,191.97950476508413
0.0,191.41160382058297
0.0,190.9124412340825
0.0,190.41750808718643
0.0,189.7517512399354
0.0,189.25538210854575
0.0,188.6617012092902
0.0,188.16815159421822
0.0,187.72117006182089
0.0,187.27668225494563
0.0,186.73315703723347
0.0,186.09091766537313
0.0,185.57203254732303
0.0,185.15463702345733
0.0,184.63581749331206
0.0,184.01200774218887
0.0,183.3749470259645
0.0,182.9264003210701
0.0,182.43618214435992
0.0,181.89631350152194
0.0,181.40450532050454
0.0,180.8699520828959
0.0,180.34262298673275
0.0,179.9254098231031
0.0,179.39052006424754
0.0,178.70526820921805
0.0,178.2396052654658
0.0,177.73250684785307
0.0,177.21084567296202
0.0,176.60611061973032
0.0,176.1487041876535
0.0,175.6572324050212
0.0,175.0912971435755
0.0,174.57195412825968
0.0,174.07039034528134
0.0,173.51478887071426
0.0,173.09002343519387
0.0,172.60615265772503
0.0,172.00322500376205
0.0,171.56599975012068
0.0,171.09485528552977
0.0,170.56402990015613
2.0E-5,241.18034080474172
2.0E-5,240.57764846959617
2.0E-5,239.9716295893304
2.0E-5,239.47619693051092
2.0E-5,238.8538656544988
2.0E-5,238.22368275519693
2.0E-5,237.75923217085074
2.0E-5,237.19622451459873
2.0E-5,236.59392137020768
2.0E-5,236.09717897790688
2.0E-5,235.4614820529041
2.0E-5,234.8929900024741
2.0E-5,234.1484667428158
2.0E-5,233.52461023934302
2.0E-5,233.0297299111262
2.0E-5,232.408295630652
2.0E-5,231.78251004379126
2.0E-5,231.2884863144718
2.0E-5,230.84822668420384
2.0E-5,230.24060425942298
2.0E-5,229.48884666571394
2.0E-5,229.00228577724192
2.0E-5,228.5581849933369
2.0E-5,227.8983662665123
2.0E-5,227.31668105651625
2.0E-5,226.78059894469334
2.0E-5,226.18825490784366
2.0E-5,225.63301898608916
2.0E-5,225.06323493769742
2.0E-5,224.3187668574392
2.0E-5,223.7639139854
2.0E-5,223.3109445461887
2.0E-5,222.7685213770019
2.0E-5,222.12197340404964
2.0E-5,221.55550411960576
2.0E-5,221.0413968260691
2.0E-5,220.42233421542915
2.0E-5,219.84211270444212
2.0E-5,219.30273220597883
2.0E-5,218.6930148906249
2.0E-5,218.19990960787982
2.0E-5,217.71372660214547
2.0E-5,217.20712928372086
2.0E-5,216.59173024771735
2.0E-5,215.96699115808588
2.0E-5,215.3959143757238
2.0E-5,214.89014970354037
2.0E-5,214.33774760883534
2.0E-5,213.75529876869405
2.0E-5,213.2259043729864
2.0E-5,212.66327809897484
2.0E-5,212.0335148270824
2.0E-5,211.49194078426808
2.0E-5,210.9636437515146
2.0E-5,210.4136461277376
2.0E-5,209.88232812442584
2.0E-5,209.33875485602766
2.0E-5,208.73331451817648
2.0E-5,208.19618988293223
2.0E-5,207.62095789966406
2.0E-5,207.0889604978729
2.0E-5,206.5474425032735
2.0E-5,206.01113076222828
