"Presentation Grid: Direction [0,1,0] (m)","Presentation Grid: Temperature (K)"
0.0,1414.0692138671875
0.0,1413.247802734375
0.0,1412.4747314453125
0.0,1411.887939453125
0.0,1411.294677734375
0.0,1410.5628662109375
0.0,1409.82080078125
0.0,1409.224609375
0.0,1408.4830322265625
0.0,1407.8758544921875
0.0,1407.3096923828125
0.0,1406.60302734375
0.0,1405.737060546875
0.0,1405.0635986328125
0.0,1404.3780517578125
0.0,1403.623779296875
0.0,1402.8206787109375
0.0,1402.1944580078125
0.0,1401.6358642578125
0.0,1400.8883056640625
0.0,1399.91259765625
0.0,1399.4676513671875
0.0,1398.8453369140625
0.0,1398.1236572265625
0.0,1397.488525390625
0.0,1396.8533935546875
0.0,1396.1597900390625
0.0,1395.4354248046875
0.0,1394.582275390625
0.0,1393.7518310546875
0.0,1392.9637451171875
0.0,1392.2916259765625
0.0,1391.581298828125
0.0,1390.9073486328125
0.0,1390.2510986328125
0.0,1389.556640625
0.0,1388.7889404296875
0.0,1388.0491943359375
0.0,1387.314697265625
0.0,1386.56787109375
0.0,1386.0484619140625
0.0,1385.4605712890625
0.0,1384.7252197265625
0.0,1384.001953125
0.0,1383.3870849609375
0.0,1382.6619873046875
0.0,1381.8831787109375
0.0,1381.20068359375
0.0,1380.53125
0.0,1379.8699951171875
0.0,1378.9246826171875
0.0,1378.36328125
0.0,1377.7071533203125
0.0,1376.9071044921875
0.0,1376.20947265625
0.0,1375.589599609375
0.0,1374.9482421875
0.0,1374.168701171875
0.0,1373.3978271484375
0.0,1372.7454833984375
0.0,1372.0859375
0.0,1371.3990478515625
0.0,1370.676025390625
0.0,1369.8466796875
0.0,1369.250244140625
0.0,1368.62890625
0.0,1367.9302978515625
0.0,1367.284912109375
0.0,1366.5655517578125
0.0,1365.822265625
0.0,1365.0625
0.0,1364.35107421875
0.0,1363.75
0.0,1363.15234375
0.0,1362.4114990234375
0.0,1361.4248046875
0.0,1360.87060546875
0.0,1360.0640869140625
0.0,1359.3629150390625
0.0,1358.5665283203125
0.0,1357.871337890625
0.0,1357.041259765625
0.0,1356.48095703125
0.0,1355.600830078125
0.0,1354.759765625
0.0,1354.0306396484375
0.0,1353.3629150390625
0.0,1352.72705078125
0.0,1351.825927734375
0.0,1351.3094482421875
0.0,1350.6536865234375
0.0,1349.9105224609375
0.0,1349.10791015625
0.0,1348.47900390625
0.0,1347.883544921875
0.0,1347.1964111328125
0.0,1346.476806640625
0.0,1345.83349609375
0.0,1345.1741943359375
0.0,1344.407958984375
0.0,1343.6640625
0.0,1342.9906005859375
0.0,1342.254638671875
0.0,1341.3526611328125
0.0,1340.6412353515625
0.0,1340.0406494140625
0.0,1339.380126953125
0.0,1338.6400146484375
0.0,1337.921142578125
0.0,1337.2938232421875
0.0,1336.6427001953125
0.0,1335.93798828125
0.0,1335.00146484375
0.0,1334.345703125
0.0,1333.60791015625
0.0,1332.95751953125
0.0,1332.2923583984375
0.0,1331.2958984375
0.0,1330.6514892578125
0.0,1329.955322265625
0.0,1329.2379150390625
0.0,1328.5244140625
0.0,1327.9132080078125
0.0,1327.0924072265625
0.0,1326.499267578125
